week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
83,81,1525,484.03,55.35,0,0,1038.0
106,152,2290,120.31,327.89,0,0,933.0
91,77,2867,754.72,154.26,0,0,524.0
83,24,2760,130.01,327.89,1,0,327.0
65,81,1770,196.0,290.03,0,0,634.0
97,106,1878,462.69,321.13,0,0,505.0
67,55,2290,115.46,242.5,0,0,965.0
131,14,1754,335.62,172.72,0,0,381.0
141,27,2640,244.5,532.53,1,1,592.0
59,124,2126,150.35,148.41,0,0,721.0
117,161,2539,338.53,321.13,0,1,1116.0
81,108,1543,680.03,152.35,1,0,626.0
86,110,2631,370.6,226.98,0,0,1570.0
135,24,1885,261.93,323.04,0,0,931.0
12,97,1803,194.06,162.05,0,0,764.0
14,52,2494,185.3,244.5,0,0,317.0
3,61,2490,678.03,281.36,0,1,1118.0
123,10,1803,242.53,242.5,0,0,1206.0
115,13,2704,154.29,445.23,0,0,997.0
128,126,2569,290.03,203.7,0,0,1109.0
143,124,1902,325.01,193.06,0,0,390.0
118,86,2826,474.39,180.42,0,1,899.0
71,65,2760,184.36,376.39,0,0,1104.0
116,59,1248,503.43,609.19,0,0,844.0
19,66,2494,197.91,446.23,0,0,586.0
96,17,2304,463.69,401.58,0,0,135.0
23,174,1248,582.03,280.33,0,0,540.0
138,17,1207,726.59,150.41,0,0,12898.0
79,24,1778,389.0,532.53,0,0,1122.0
64,75,2492,94.12,146.53,0,0,1187.0
42,145,1778,337.56,447.23,0,0,1807.0
115,177,1543,446.26,324.04,0,0,1064.0
70,102,1770,445.23,116.4,0,0,329.0
86,146,2126,435.59,149.41,0,0,991.0
3,51,2139,58.26,292.03,1,0,679.0
93,93,1558,152.35,241.53,0,0,30.0
92,72,1770,214.43,446.23,0,0,887.0
93,93,2290,292.03,388.03,0,0,497.0
138,129,1770,242.53,324.98,0,0,1015.0
102,13,2539,349.23,241.53,0,0,824.0
55,52,1571,468.57,660.63,0,0,14.0
67,58,2290,120.31,674.21,0,0,612.0
104,77,2490,435.53,369.63,0,0,1067.0
10,110,2577,500.58,581.03,0,0,309.0
100,91,2664,122.25,447.23,0,0,408.0
100,58,2490,322.07,115.49,0,0,1070.0
33,53,1878,455.93,243.5,0,0,245.0
21,51,1207,388.03,377.33,0,0,702.0
49,153,2290,93.18,680.03,0,0,303.0
56,145,1770,468.57,532.53,0,0,1188.0
86,139,1230,163.02,435.53,0,0,988.0
67,145,1230,187.24,606.31,0,0,557.0
144,132,2640,728.53,195.0,0,1,111.0
17,177,1727,304.64,641.23,0,0,402.0
33,129,2569,603.4,426.83,0,0,630.0
26,102,2631,679.03,642.2,0,0,1146.0
98,68,1971,395.76,109.64,0,0,145.0
40,161,1770,407.43,585.94,0,0,682.0
71,92,1207,709.13,118.34,0,1,871.0
39,174,2704,120.31,583.03,0,0,1892.0
26,20,1754,319.13,350.23,0,0,1002.0
18,14,1525,291.03,312.34,0,1,669.0
98,126,1962,290.09,291.03,0,0,1183.0
22,41,1438,503.43,446.23,0,0,745.0
31,58,1803,319.13,243.53,0,0,727.0
57,41,2490,328.86,95.06,1,1,553.0
121,14,1993,325.01,581.03,0,0,737.0
16,109,2577,243.53,226.98,0,0,480.0
124,36,2577,190.18,361.87,0,0,712.0
16,139,2322,176.54,204.7,0,1,366.0
142,137,1885,401.61,412.31,0,0,243.0
72,129,2539,486.03,350.17,0,0,240.0
143,99,2139,544.23,605.28,0,0,757.0
91,59,2490,327.86,357.93,0,0,810.0
110,74,1248,531.59,433.65,0,1,592.0
7,24,1993,389.03,282.3,0,0,122.0
44,36,1727,388.0,322.07,0,0,933.0
19,92,2139,328.89,318.16,0,0,1078.0
47,50,2126,592.67,387.03,0,0,1134.0
19,59,2290,692.61,406.43,0,0,1036.0
50,77,2640,105.79,466.63,0,0,1104.0
64,39,1902,117.37,435.53,0,1,1134.0
11,145,1207,280.33,323.04,0,0,669.0
103,11,2306,337.56,281.33,0,0,488.0
86,99,2707,130.04,298.79,0,0,869.0
42,157,1803,682.94,133.86,0,0,348.0
80,72,1438,280.33,421.95,0,0,999.0
15,99,1207,251.23,280.33,0,0,1045.0
87,34,2640,324.01,476.33,0,0,1100.0
136,53,1571,292.03,445.23,0,0,729.0
50,177,2569,117.37,181.45,0,0,1166.0
100,104,1230,185.3,303.64,0,0,717.0
21,174,1878,425.89,121.25,1,0,560.0
106,73,2577,404.52,177.57,0,0,815.0
45,64,1248,120.28,508.31,0,0,1223.0
29,137,1445,639.23,173.63,0,0,1126.0
89,86,2569,306.52,285.24,0,0,976.0
3,80,1971,447.23,426.83,1,0,113.0
122,124,1558,347.26,242.53,0,0,757.0
1,99,2704,370.6,177.57,0,1,604.0
101,89,1962,445.23,345.38,0,0,778.0
43,83,1778,389.0,162.99,0,0,1039.0
109,124,2704,285.24,484.03,0,0,308.0
140,174,2492,301.73,200.82,0,0,901.0
39,53,1878,181.42,612.1,0,0,155.0
87,101,1878,447.23,484.09,0,0,281.0
89,41,1438,211.46,178.54,0,0,978.0
87,110,1207,147.5,193.06,0,0,417.0
35,75,2664,338.53,243.53,0,0,1004.0
139,65,2631,296.88,299.79,0,0,135.0
69,146,2139,445.23,514.13,0,0,191.0
125,109,2581,389.03,240.59,0,0,860.0
104,81,1230,562.63,281.36,0,0,68.0
47,145,2539,290.03,158.17,0,0,710.0
120,29,1754,177.54,282.33,0,0,1118.0
61,149,2826,434.59,156.17,0,0,662.0
129,146,2322,587.85,728.53,0,0,839.0
88,113,1778,388.03,311.43,0,0,45.0
129,66,2139,242.53,311.43,0,0,784.0
103,43,1558,272.63,95.12,0,0,749.0
108,13,1216,315.25,95.06,0,0,712.0
76,124,1525,367.63,315.25,0,0,488.0
140,109,1311,88.3,203.7,0,0,462.0
97,83,2139,194.0,177.57,1,0,1204.0
65,132,1803,466.57,466.63,1,0,57.0
91,174,1216,243.53,266.78,0,0,39.0
3,186,2290,260.93,307.49,0,0,1180.0
47,94,1230,282.3,248.32,0,0,238.0
99,30,2581,241.53,292.03,0,0,163.0
46,55,1247,161.05,600.43,0,0,269.0
93,50,1803,486.03,532.53,0,0,985.0
66,57,2444,291.03,196.0,0,0,1151.0
22,76,1062,474.39,630.53,1,0,41.0
47,94,1525,338.56,282.33,0,0,530.0
86,94,1525,149.38,290.03,0,0,136.0
89,132,1216,117.4,168.81,0,0,329.0
87,55,1962,226.04,390.0,0,0,281.0
98,177,1993,153.26,513.13,0,0,799.0
98,129,1885,243.53,583.03,0,0,438.0
66,108,2631,299.76,636.32,0,0,232.0
131,64,1878,133.86,263.84,0,1,625.0
57,110,1971,447.23,299.79,1,1,61.0
67,152,2490,290.03,280.33,0,0,136.0
131,86,1558,540.29,190.18,0,1,1213.0
119,73,1311,297.85,291.03,0,0,255.0
105,68,2322,433.59,641.23,0,0,448.0
16,129,2492,281.33,144.56,0,0,901.0
134,137,2104,192.09,707.13,0,1,1031.0
106,66,1216,418.13,121.25,0,0,1128.0
145,143,1216,168.81,641.23,0,0,219.0
24,68,2760,492.82,151.35,0,1,830.0
128,59,1803,290.03,143.59,0,0,1187.0
26,74,2664,233.83,235.71,0,0,83.0
93,61,1878,380.24,143.59,0,0,834.0
20,104,2290,262.93,547.14,0,0,1040.0
125,53,2640,240.56,282.33,0,1,429.0
119,11,1727,92.15,418.13,0,0,317.0
86,73,2322,325.01,406.43,0,0,738.0
63,68,2664,286.21,247.41,0,0,550.0
11,97,1902,149.44,320.16,0,0,225.0
104,97,2760,243.53,447.23,1,0,586.0
70,36,2494,436.53,465.63,0,0,511.0
107,39,2490,292.03,469.51,0,0,704.0
127,146,1062,327.92,658.63,0,0,631.0
142,10,2640,435.53,121.28,0,1,391.0
126,124,1062,457.87,153.32,0,0,447.0
2,34,2539,282.33,153.26,0,0,1030.0
56,186,1543,465.63,292.03,0,0,318.0
108,57,2569,521.92,659.63,0,0,694.0
27,52,1207,511.22,339.53,0,0,28.0
79,132,2867,465.66,422.95,0,0,913.0
9,51,1062,660.63,281.36,0,1,421.0
32,73,1543,204.73,699.37,0,0,68.0
3,75,2139,561.63,177.57,0,0,354.0
117,97,1878,282.33,339.53,0,0,305.0
35,61,1062,419.1,328.89,0,0,1170.0
53,110,2664,165.93,248.38,0,0,441.0
136,77,2631,161.02,464.63,0,1,363.0
105,68,1543,324.98,317.22,0,0,449.0
5,65,2290,608.22,346.35,0,0,1163.0
26,65,2492,592.67,545.17,0,0,783.0
93,17,1727,670.33,119.34,0,0,767.0
87,75,1216,434.59,155.26,0,0,882.0
38,41,1778,680.03,641.23,0,0,484.0
137,101,1727,236.68,689.73,0,1,516.0
92,66,2490,279.39,620.86,0,0,803.0
82,75,2664,145.56,447.23,0,0,15.0
89,27,1993,148.41,292.03,0,0,247.0
109,61,2760,254.14,576.24,0,0,419.0
49,10,2126,244.5,484.03,0,0,304.0
61,59,2640,292.03,640.23,0,1,787.0
33,132,2290,319.13,639.23,0,1,473.0
30,174,1248,253.23,389.03,0,0,1076.0
138,10,1878,405.49,263.84,0,0,703.0
110,81,2290,487.91,418.13,1,0,516.0
75,66,2577,163.93,388.03,0,1,501.0
36,36,2664,169.75,581.03,0,0,865.0
40,58,2569,447.23,327.89,0,0,521.0
10,108,2444,320.13,214.4,0,0,2031.0
67,65,2640,577.21,485.03,0,1,70.0
49,68,2304,323.04,465.63,0,0,554.0
104,14,2664,486.03,659.63,0,0,328.0
58,20,2577,352.11,172.66,0,0,204.0
29,50,2760,96.06,326.89,0,0,654.0
4,52,1885,449.17,235.71,0,0,605.0
11,53,1230,156.17,454.93,0,0,695.0
101,139,2492,680.03,291.03,0,0,930.0
70,74,1885,389.03,699.43,0,0,1086.0
82,101,2760,637.35,389.03,0,0,23685.0
131,174,1971,371.54,252.2,0,0,392.0
144,110,1248,513.13,156.2,0,0,580.0
34,66,1778,188.18,435.53,0,0,995.0
99,88,1803,621.83,389.03,0,0,1076.0
41,124,1198,581.03,211.52,0,0,1000.0
4,91,2139,445.23,238.65,0,0,241.0
112,162,2539,146.53,283.3,0,0,1227.0
50,186,1248,158.14,321.13,0,0,782.0
59,91,2707,142.59,402.55,0,0,114.0
89,17,2569,619.86,350.2,0,0,894.0
123,64,1216,670.33,533.53,0,0,1211.0
94,43,1962,466.63,484.03,0,0,501.0
128,50,2640,561.69,670.33,0,0,837.0
43,73,2539,508.28,447.23,0,0,397.0
118,102,1770,242.53,310.43,0,0,272.0
30,126,2290,485.03,242.5,0,0,884.0
